Date,Sentiment_Scores
2008-06-20,[0.22546394 0.2226174  0.19378681 0.21319035 0.14494143]
2008-06-23,[0.20580803 0.19464253 0.17166473 0.25980738 0.16807736]
2008-06-24,[0.41668037 0.30359116 0.15798001 0.0860737  0.03567482]
2008-06-25,[0.15792914 0.24952643 0.278944   0.22911784 0.08448263]
2008-06-26,[0.0970973  0.27400374 0.34984446 0.21727246 0.06178208]
2008-06-30,[0.21121292 0.38143948 0.2375581  0.13562322 0.03416631]
2008-07-01,[0.24653718 0.2948722  0.2983316  0.12096491 0.03929415]
2008-07-02,[0.06115045 0.18477653 0.34981865 0.34105927 0.0631951 ]
2008-07-03,[0.16737385 0.29732472 0.26046348 0.2152454  0.05959261]
2008-07-07,[0.18275113 0.12305167 0.17934006 0.28769717 0.22716002]
2008-07-09,[0.06650218 0.12347016 0.21659216 0.36965284 0.22378264]
2008-07-10,[0.28807136 0.26397815 0.20409079 0.16590829 0.07795142]
2008-07-11,[0.24193016 0.2948527  0.19444273 0.17413206 0.09464233]
2008-07-14,[0.0937327  0.18129602 0.23519266 0.34514895 0.14462969]
2008-07-15,[0.1949277  0.19533598 0.1909812  0.2447475  0.17400762]
2008-07-16,[0.57713133 0.23950854 0.09339336 0.05370186 0.03626492]
2008-07-17,[0.28671724 0.20679384 0.12498035 0.1812908  0.20021781]
2008-07-18,[0.14617918 0.48175555 0.30743492 0.05389577 0.01073462]
2008-07-21,[0.22190328 0.41638124 0.23977165 0.09766784 0.024276  ]
2008-07-22,[0.24916312 0.405442   0.23311044 0.09279837 0.01948605]
2008-07-23,[0.24955185 0.31613514 0.19686462 0.16116832 0.07628003]
2008-07-24,[0.33902293 0.2844723  0.1813391  0.12068938 0.07447629]
2008-07-25,[0.308148   0.2826299  0.18453392 0.13731304 0.08737511]
2008-07-28,[0.3764691  0.30914578 0.12066486 0.10411282 0.08960748]
2008-07-29,[0.4658193  0.27526736 0.13008998 0.07111859 0.05770474]
2008-07-30,[0.19393896 0.29810056 0.2797677  0.15707764 0.07111508]
2008-07-31,[0.32483098 0.27348614 0.20102058 0.12948903 0.07117331]
2008-08-04,[0.2145449  0.33618346 0.22382519 0.14789952 0.07754691]
2008-08-05,[0.15818517 0.24159767 0.286026   0.22908144 0.08510973]
2008-08-06,[0.2088022  0.26183024 0.24258584 0.19428383 0.09249797]
2008-08-07,[0.18673153 0.3131897  0.30159795 0.15171136 0.04676947]
2008-08-08,[0.18965575 0.30649528 0.27832258 0.15134369 0.07418265]
2008-08-11,[0.10951383 0.30890793 0.3270144  0.19891033 0.05565356]
2008-08-12,[0.51127625 0.21364088 0.10826933 0.08673181 0.08008165]
2008-08-14,[0.4084422  0.23474449 0.17405546 0.11358715 0.06917074]
2008-08-15,[0.31182873 0.23982015 0.20655596 0.16192357 0.07987167]
2008-08-18,[0.4196858  0.27913195 0.14788799 0.09496798 0.05832617]
2008-08-19,[0.15447861 0.19006217 0.1650604  0.28350025 0.20689851]
2008-08-20,[0.15773009 0.2332687  0.22373444 0.25367305 0.13159378]
2008-08-21,[0.17970248 0.18211566 0.20221217 0.22331618 0.21265343]
2008-08-22,[0.72496665 0.17606188 0.06274542 0.02287306 0.01335299]
2008-08-25,[0.22419812 0.1945796  0.21722145 0.22724766 0.13675317]
2008-08-27,[0.16553141 0.37846604 0.28964087 0.1298955  0.03646621]
2008-08-28,[0.24434458 0.5411275  0.19202307 0.0186317  0.00387322]
2008-08-29,[0.26065183 0.4344755  0.21312094 0.0705523  0.02119941]
2008-09-02,[0.303499   0.24228327 0.20979902 0.16077541 0.08364335]
2008-09-03,[0.31878462 0.24141201 0.20009775 0.14945099 0.09025467]
2008-09-04,[0.28316993 0.2908853  0.20369624 0.13211076 0.09013777]
2008-09-05,[0.40765202 0.26924005 0.16699275 0.09974289 0.0563723 ]
2008-09-08,[0.28056452 0.30539635 0.19920737 0.1526954  0.06213633]
2008-09-09,[0.13756649 0.21239299 0.2501168  0.2690102  0.13091362]
2008-09-10,[0.10093132 0.21745639 0.2720661  0.30473885 0.1048073 ]
2008-09-11,[0.37010795 0.27186483 0.21537857 0.10484356 0.03780511]
2008-09-12,[0.3039661  0.2238793  0.15596506 0.17111956 0.14507   ]
2008-09-15,[0.16413656 0.2451331  0.24002369 0.25529063 0.09541602]
2008-09-16,[0.4160669  0.27599975 0.13961317 0.1041443  0.06417587]
2008-09-17,[0.12433558 0.16215357 0.20835508 0.31237993 0.19277585]
2008-09-18,[0.08247618 0.09165361 0.17604941 0.3558099  0.29401094]
2008-09-19,[0.21373509 0.26592073 0.2305317  0.19479074 0.09502172]
2008-09-22,[0.21305397 0.28119186 0.24037613 0.1835082  0.0818698 ]
2008-09-24,[0.00746935 0.02163816 0.13207822 0.6182946  0.22051965]
2008-09-25,[0.08261085 0.2584449  0.3680621  0.2316738  0.05920834]
2008-09-26,[0.47019744 0.35437706 0.12450946 0.03666594 0.01425011]
2008-09-29,[0.21562795 0.2961678  0.25363687 0.15315022 0.08141713]
2008-09-30,[0.1475353  0.19618982 0.22546083 0.2898318  0.14098226]
2008-10-01,[0.2404886  0.3831496  0.24517326 0.10453235 0.02665628]
2008-10-02,[0.4889566  0.30716234 0.13239934 0.04639828 0.02508339]
2008-10-03,[0.60659623 0.22926103 0.10357352 0.03992226 0.020647  ]
2008-10-06,[0.2636965  0.34184462 0.20929661 0.12357969 0.06158252]
2008-10-08,[0.31753653 0.24140994 0.1406097  0.17096691 0.12947695]
2008-10-09,[0.26330894 0.23171176 0.2015767  0.19870964 0.10469291]
2008-10-10,[0.08320669 0.13810916 0.21628875 0.34259358 0.2198018 ]
2008-10-14,[0.20735545 0.24994428 0.19903974 0.2033587  0.14030184]
2008-10-15,[0.09231238 0.13219827 0.18458964 0.3278404  0.26305938]
2008-10-16,[0.0579356  0.13178101 0.27469608 0.38151747 0.15406987]
2008-10-17,[0.3912923  0.34285328 0.14054203 0.07980826 0.04550418]
2008-10-21,[0.24711077 0.21609259 0.15373437 0.19266322 0.19039914]
2008-10-22,[0.11701724 0.14906362 0.15514448 0.3106945  0.26808017]
2008-10-23,[0.0125087  0.02279281 0.06629566 0.46855754 0.42984524]
2008-10-24,[0.2670639  0.29206866 0.18671714 0.18760018 0.06655011]
2008-10-27,[0.292919   0.20150022 0.13711916 0.18329939 0.18516208]
2008-10-28,[0.2474581  0.28119907 0.22838868 0.15314929 0.0898049 ]
2008-10-30,[0.19322753 0.2774606  0.28480706 0.19013761 0.05436715]
2008-10-31,[0.0535191  0.09367694 0.17245227 0.42732403 0.25302765]
2008-11-04,[0.12637222 0.15365356 0.16777967 0.30775404 0.24444054]
2008-11-05,[0.1930334  0.22843157 0.2001314  0.23119085 0.14721277]
2008-11-06,[0.18548869 0.37708187 0.3075473  0.10714803 0.02273407]
2008-11-07,[0.6999442  0.21734655 0.06250083 0.01444364 0.00576487]
2008-11-10,[0.2981667  0.42931354 0.17524098 0.06830861 0.02897014]
2008-11-11,[0.04509205 0.08171877 0.2596727  0.41812348 0.195393  ]
2008-11-12,[0.04170773 0.09502975 0.2970951  0.41058806 0.15557939]
2008-11-13,[0.14107904 0.28608114 0.29706898 0.20232381 0.07344707]
2008-11-14,[0.1288951  0.13107093 0.13805465 0.30895004 0.29302934]
2008-11-17,[0.14022335 0.2266975  0.279984   0.25042012 0.10267505]
2008-11-18,[0.00540495 0.00635092 0.0225109  0.21054704 0.7551862 ]
2008-11-19,[0.01465313 0.02944434 0.11828257 0.40331095 0.434309  ]
2008-11-20,[0.12149786 0.2067794  0.2587894  0.28376397 0.12916939]
2008-11-21,[0.08557548 0.12907402 0.22686163 0.3817192  0.17676955]
2008-11-24,[0.11986077 0.14919807 0.18498082 0.32769695 0.21826337]
2008-11-25,[0.15694603 0.22428596 0.2303469  0.26665184 0.12176926]
2008-11-26,[0.00988749 0.03178079 0.17579603 0.56581205 0.21672365]
2008-11-28,[0.05184657 0.06789543 0.11903059 0.28590357 0.47532383]
2008-12-01,[0.05506487 0.11866066 0.24528182 0.43309855 0.14789405]
2008-12-02,[0.07587028 0.15014921 0.26457182 0.3816813  0.12772742]
2008-12-04,[0.12497038 0.14127462 0.17318442 0.3161196  0.24445105]
2008-12-05,[0.01984099 0.07775637 0.28856713 0.4451259  0.16870952]
2008-12-08,[0.56855804 0.27745014 0.08251413 0.04153697 0.02994065]
2008-12-09,[0.05383699 0.10383047 0.20635287 0.37790212 0.25807753]
2008-12-10,[0.03201737 0.07032047 0.17134117 0.4421899  0.28413102]
2008-12-11,[0.02686388 0.07241232 0.19350699 0.43969607 0.2675208 ]
2008-12-12,[0.05238521 0.09452645 0.16741538 0.4082353  0.27743766]
2008-12-16,[0.2555159  0.2071488  0.20874956 0.19871859 0.12986705]
2008-12-17,[0.28455466 0.20267525 0.17817672 0.20414402 0.13044931]
2008-12-18,[0.24525136 0.3205023  0.26555592 0.13360253 0.03508798]
2008-12-19,[0.41689602 0.32441613 0.1717134  0.06169637 0.02527802]
2008-12-22,[0.10025108 0.1623457  0.22681111 0.31528613 0.19530599]
2008-12-23,[0.15964627 0.19282    0.18452586 0.288219   0.17478885]
2008-12-24,[0.1532856  0.2872939  0.36639762 0.15646574 0.03655718]
2008-12-29,[0.41363537 0.25843945 0.15790685 0.1019286  0.06808977]
2008-12-31,[0.48496902 0.25876677 0.09639837 0.06539966 0.09446624]
2009-01-02,[0.0344221  0.09768569 0.28794643 0.4189649  0.16098094]
2009-01-05,[0.18742913 0.2782229  0.27479643 0.18747869 0.07207286]
2009-01-07,[0.40940976 0.29245943 0.15840726 0.09220546 0.04751803]
2009-01-08,[0.12480821 0.13555281 0.16343904 0.31061688 0.26558304]
2009-01-09,[0.06767569 0.11658027 0.15769674 0.38555053 0.2724968 ]
2009-01-12,[0.06523716 0.14790548 0.24592753 0.3579995  0.18293029]
2009-01-13,[0.29088214 0.2768695  0.14331605 0.14817719 0.14075513]
2009-01-15,[0.28662902 0.35695258 0.202855   0.1144502  0.03911329]
2009-01-16,[0.2588374  0.28992596 0.20924063 0.15903395 0.08296203]
2009-01-20,[0.0772448  0.12189221 0.21237186 0.39547476 0.19301634]
2009-01-21,[0.21230601 0.30243292 0.22637376 0.17598526 0.08290208]
2009-01-22,[0.32441407 0.28362226 0.19726436 0.13180709 0.06289213]
2009-01-23,[0.6119242  0.2504867  0.09017792 0.0320943  0.01531691]
2009-01-26,[0.38938832 0.34367165 0.15041658 0.07826686 0.03825663]
2009-01-27,[0.17556447 0.24531513 0.21279538 0.2361817  0.13014325]
2009-01-28,[0.1970589  0.30708706 0.2813022  0.1446266  0.06992517]
2009-01-29,[0.40293565 0.40266028 0.16594748 0.02240676 0.00604989]
2009-01-30,[0.22750323 0.29027098 0.23914145 0.14770685 0.09537749]
2009-02-02,[0.18318361 0.33673835 0.28252518 0.15207201 0.04548087]
2009-02-03,[0.4447035  0.33036876 0.13156559 0.06319319 0.03016898]
2009-02-04,[0.11942135 0.24160342 0.23440702 0.29477367 0.10979448]
2009-02-05,[0.05724175 0.11435527 0.18513426 0.42131296 0.22195575]
2009-02-06,[0.13561013 0.21179079 0.23245125 0.2817221  0.13842572]
2009-02-09,[0.02980173 0.06506467 0.16488056 0.49648055 0.24377248]
2009-02-10,[0.08339366 0.12187455 0.23430657 0.36039096 0.20003423]
2009-02-11,[0.1643416  0.24763699 0.2393318  0.21431439 0.1343752 ]
2009-02-12,[0.15070252 0.23910645 0.24484657 0.22879572 0.13654877]
2009-02-13,[0.65698695 0.17677918 0.07574377 0.05529628 0.03519379]
2009-02-17,[0.16511296 0.30361512 0.27472773 0.19114812 0.0653961 ]
2009-02-18,[0.5838144  0.22982173 0.11134398 0.04914697 0.02587298]
2009-02-19,[0.4501678  0.26204517 0.15560964 0.08723528 0.04494217]
2009-02-20,[0.07862463 0.13305214 0.2740343  0.3971717  0.1171172 ]
2009-02-23,[0.30697492 0.24446014 0.19340865 0.16691943 0.08823685]
2009-02-24,[0.5393453  0.22475627 0.09941259 0.06368592 0.07279998]
2009-02-25,[0.43359536 0.2545887  0.12855601 0.10134037 0.08191954]
2009-02-26,[0.33187187 0.22016029 0.16741422 0.1585964  0.12195722]
2009-02-27,[0.00952526 0.00990601 0.02726469 0.26770678 0.6855973 ]
2009-03-02,[0.17010416 0.20919041 0.2430081  0.2508066  0.12689073]
2009-03-03,[0.15399298 0.15706038 0.15985948 0.26592517 0.26316208]
2009-03-04,[0.2750434  0.2339593  0.20470728 0.17746712 0.1088229 ]
2009-03-05,[0.10000632 0.24801962 0.35530168 0.23904756 0.05762482]
2009-03-06,[0.16575126 0.14799449 0.18272172 0.30449826 0.19903421]
2009-03-09,[0.38555926 0.31825805 0.1676379  0.08998101 0.03856378]
2009-03-10,[0.09312245 0.10223512 0.11780283 0.3020206  0.384819  ]
2009-03-11,[0.344868   0.41853157 0.18754627 0.03819682 0.0108573 ]
2009-03-12,[0.17023382 0.45576173 0.28443485 0.07627899 0.01329067]
2009-03-13,[0.06171224 0.11380138 0.17359206 0.41325682 0.23763748]
2009-03-17,[0.36875397 0.3114503  0.17716452 0.08968505 0.05294613]
2009-03-18,[0.01596783 0.09071089 0.3524242  0.43182206 0.10907495]
2009-03-19,[0.22180621 0.295567   0.29519495 0.16334702 0.02408486]
2009-03-20,[0.5212837  0.271191   0.13397682 0.05464024 0.01890821]
2009-03-23,[0.17721857 0.18077585 0.21633567 0.27322513 0.1524447 ]
2009-03-24,[0.24704346 0.24408378 0.24126945 0.17559667 0.09200651]
2009-03-25,[0.33252487 0.27152488 0.18223846 0.13925077 0.074461  ]
2009-03-26,[0.27117252 0.29199043 0.23179996 0.15267514 0.0523619 ]
2009-03-27,[0.16968454 0.22160341 0.24158476 0.25391233 0.11321502]
2009-03-30,[0.23431277 0.28781268 0.21721071 0.1831721  0.07749175]
2009-03-31,[0.18280101 0.36639708 0.30609077 0.10895828 0.03575281]
2009-04-02,[0.09234017 0.16175441 0.22466066 0.34614658 0.17509805]
2009-04-03,[0.26831234 0.28452486 0.13515352 0.14390224 0.16810714]
2009-04-06,[0.15345173 0.2068524  0.17895278 0.27124384 0.18949923]
2009-04-07,[0.19005424 0.2126872  0.22570203 0.21574433 0.15581216]
2009-04-08,[0.3504763  0.28066215 0.17170218 0.12639737 0.07076205]
2009-04-09,[0.35756764 0.38565174 0.19154401 0.05116874 0.01406786]
2009-04-13,[0.427111   0.39888826 0.13661875 0.02870338 0.00867857]
2009-04-14,[0.03191775 0.09570002 0.2716703  0.4637924  0.13691953]
2009-04-15,[0.1135861  0.3763748  0.31974822 0.15516108 0.03512982]
2009-04-16,[0.12280776 0.38126078 0.32377577 0.14291745 0.02923829]
2009-04-17,[0.2616029  0.3066632  0.240675   0.13554801 0.05551086]
2009-04-20,[0.32480133 0.27457133 0.21121487 0.13328208 0.05613042]
2009-04-21,[0.1344126  0.30362907 0.35763904 0.16683623 0.03748313]
2009-04-22,[0.3894591  0.3711212  0.16273288 0.05417591 0.02251086]
2009-04-23,[0.23315266 0.37802368 0.24164958 0.10887701 0.03829709]
2009-04-24,[0.43076232 0.23880063 0.15594259 0.1052582  0.06923624]
2009-04-27,[0.36656073 0.31564817 0.19797887 0.0846634  0.03514881]
2009-04-28,[0.28226596 0.3100123  0.21399726 0.1277462  0.06597831]
2009-04-29,[0.26078254 0.24794088 0.20832075 0.17748745 0.10546838]
2009-04-30,[0.25341317 0.24443626 0.22917275 0.15859944 0.1143784 ]
2009-05-01,[0.33434254 0.30505228 0.19746128 0.11495195 0.04819199]
2009-05-04,[0.5527269  0.29433003 0.11175086 0.03179509 0.00939713]
2009-05-05,[0.48762313 0.25817287 0.14065142 0.07932185 0.03423074]
2009-05-06,[0.21785894 0.28466374 0.2505949  0.18466306 0.06221927]
2009-05-07,[0.34670374 0.28410712 0.1945401  0.12654026 0.04810876]
2009-05-08,[0.23250419 0.29620883 0.27035674 0.15744925 0.043481  ]
2009-05-11,[0.16917793 0.3072606  0.24832089 0.19354108 0.08169948]
2009-05-13,[0.6745997  0.19221343 0.0680922  0.03738114 0.0277135 ]
2009-05-14,[0.5938948  0.2719374  0.09241918 0.0284865  0.0132621 ]
2009-05-15,[0.37905362 0.3098909  0.16747701 0.10492895 0.03864959]
2009-05-18,[0.20963739 0.2710993  0.25392976 0.19249307 0.0728405 ]
2009-05-19,[0.32835257 0.2545889  0.20526734 0.13967748 0.0721137 ]
2009-05-21,[0.04074066 0.09159012 0.17916977 0.34637696 0.34212247]
2009-05-22,[0.07636017 0.11602701 0.19885126 0.34882972 0.25993195]
2009-05-26,[0.2763739  0.2501951  0.21167979 0.16030179 0.10144936]
2009-05-27,[0.26909077 0.3279316  0.22566223 0.12522982 0.05208559]
2009-05-28,[0.12203237 0.2615655  0.26927695 0.23625886 0.11086632]
2009-05-29,[0.16541845 0.21750134 0.24276073 0.23869725 0.13562222]
2009-06-02,[0.318519   0.33610386 0.19411826 0.10587358 0.04538525]
2009-06-03,[0.46376464 0.32698965 0.1356605  0.05313276 0.02045246]
2009-06-04,[0.30094677 0.26072973 0.18161908 0.17269772 0.0840068 ]
2009-06-05,[0.07157049 0.158511   0.26186112 0.3673188  0.14073859]
2009-06-08,[0.11001264 0.13979597 0.21503258 0.3260686  0.20909023]
2009-06-09,[0.1991348  0.18714419 0.23718053 0.24780013 0.12874037]
2009-06-10,[0.19689906 0.11086266 0.11930612 0.21273793 0.3601943 ]
2009-06-12,[0.24520198 0.37666667 0.24816993 0.09923693 0.03072449]
2009-06-15,[0.26422653 0.29569647 0.1980908  0.164952   0.07703423]
2009-06-16,[0.12035462 0.1800567  0.20423308 0.29758072 0.19777493]
2009-06-17,[0.04767763 0.19877198 0.34957224 0.3078915  0.0960867 ]
2009-06-18,[0.2733728  0.23236114 0.22163497 0.17902817 0.09360293]
2009-06-19,[0.15883273 0.23996945 0.22897202 0.23991916 0.13230672]
2009-06-22,[0.28796494 0.21323536 0.1733115  0.18894455 0.13654356]
2009-06-23,[0.28867453 0.39772972 0.21359126 0.07360277 0.02640175]
2009-06-24,[0.23224032 0.33915937 0.23442061 0.1384689  0.05571075]
2009-06-25,[0.2961405  0.29453635 0.20100383 0.12815662 0.08016268]
2009-06-26,[0.1505     0.26371798 0.28129536 0.2229571  0.08152951]
2009-06-29,[0.10663749 0.1763494  0.19253698 0.30675378 0.21772236]
2009-06-30,[0.528218   0.26887825 0.1191147  0.05683427 0.02695483]
2009-07-02,[0.37941626 0.23643774 0.16766997 0.12112065 0.09535541]
2009-07-06,[0.3614446  0.29083267 0.18378901 0.11170865 0.05222503]
2009-07-07,[0.36680573 0.3285191  0.18795711 0.08372366 0.03299437]
2009-07-08,[0.44007877 0.33622313 0.14063597 0.0596331  0.02342903]
2009-07-10,[0.42013815 0.29994157 0.20193306 0.05608327 0.02190395]
2009-07-13,[0.21918602 0.2680724  0.30690068 0.14964841 0.05619251]
2009-07-14,[0.23109931 0.1931214  0.13993248 0.22298402 0.21286279]
2009-07-15,[0.08525828 0.11269809 0.2167089  0.34452623 0.24080853]
2009-07-16,[0.06697506 0.11831508 0.20718168 0.40640354 0.20112474]
2009-07-17,[0.24239972 0.22961782 0.24974526 0.19887619 0.07936109]
2009-07-20,[0.3101676  0.18827793 0.14442873 0.17428373 0.18284199]
2009-07-21,[0.01530975 0.04223552 0.14906275 0.53802574 0.2553662 ]
2009-07-22,[0.15245803 0.22784747 0.18725678 0.2564733  0.1759644 ]
2009-07-23,[0.2717124  0.29989868 0.18887165 0.1425819  0.09693541]
2009-07-24,[0.1715274  0.23368996 0.22045448 0.23074949 0.1435787 ]
2009-07-27,[0.53059775 0.28974545 0.10421886 0.04886925 0.02656878]
2009-07-28,[0.32701665 0.32708102 0.20410138 0.09245262 0.0493483 ]
2009-07-29,[0.72898346 0.16140118 0.05724601 0.03025913 0.02211028]
2009-07-30,[0.50252503 0.29520306 0.07729372 0.06052846 0.06444972]
2009-07-31,[0.68660975 0.23427406 0.06326576 0.01050075 0.00534967]
2009-08-03,[0.3145076  0.38196513 0.18963067 0.08775062 0.02614602]
2009-08-05,[0.01434565 0.0476461  0.22065906 0.49989715 0.21745211]
2009-08-06,[0.33769676 0.26936123 0.18577456 0.13473096 0.07243643]
2009-08-07,[0.3756978  0.29774547 0.20178543 0.09726077 0.02751059]
2009-08-10,[0.523931   0.37611055 0.07590603 0.01684108 0.00721128]
2009-08-11,[0.24796776 0.3155008  0.23791501 0.15011242 0.04850403]
2009-08-12,[0.10461019 0.19291878 0.27670234 0.31034282 0.11542586]
2009-08-13,[0.11011199 0.26128024 0.3137073  0.2515798  0.06332066]
2009-08-14,[0.08119045 0.14355147 0.22077723 0.36733148 0.18714932]
2009-08-17,[0.09789626 0.13355513 0.17695521 0.3234615  0.26813185]
2009-08-18,[0.38868272 0.3211517  0.1475968  0.0929979  0.04957084]
2009-08-19,[0.41564414 0.30657127 0.18470505 0.07040645 0.02267306]
2009-08-21,[0.6649056  0.23853089 0.07735088 0.01435534 0.00485731]
2009-08-24,[0.4462367  0.25140753 0.18348613 0.07979466 0.03907504]
2009-08-25,[0.20770997 0.45194128 0.28255236 0.05007844 0.00771791]
2009-08-26,[0.08101687 0.19018093 0.27426586 0.34481442 0.1097219 ]
2009-08-27,[0.11066041 0.18871178 0.29325116 0.32314885 0.08422779]
2009-08-28,[0.14177334 0.19350827 0.20138422 0.284588   0.17874622]
2009-09-01,[0.21705268 0.2410763  0.19715707 0.22017142 0.12454252]
2009-09-02,[0.462054   0.31947172 0.13080887 0.05960032 0.02806508]
2009-09-03,[0.26162276 0.1907976  0.1499606  0.2050236  0.19259538]
2009-09-04,[0.4718545  0.2538963  0.1680358  0.07319354 0.03301977]
2009-09-08,[0.26999447 0.395703   0.23655556 0.07910611 0.01864088]
2009-09-09,[0.1006949  0.16146545 0.23960271 0.3418123  0.15642461]
2009-09-11,[0.12665188 0.24383911 0.27125338 0.2588593  0.09939635]
2009-09-14,[0.21075785 0.2206103  0.21056479 0.19746695 0.16060014]
2009-09-16,[0.06712604 0.11202155 0.24400966 0.398879   0.1779638 ]
2009-09-17,[0.09000862 0.14878854 0.2200149  0.32962084 0.21156712]
2009-09-18,[0.33890116 0.32727483 0.18488854 0.10700365 0.04193182]
2009-09-22,[0.05609874 0.08421803 0.17704988 0.39107072 0.29156262]
2009-09-23,[0.15919352 0.2150986  0.19573025 0.28937814 0.14059947]
2009-09-24,[0.15605487 0.22568303 0.22001326 0.25438416 0.14386462]
2009-09-25,[0.34505755 0.22469203 0.11551002 0.15603057 0.15870982]
2009-09-28,[0.25585017 0.33878735 0.21310225 0.14122637 0.05103388]
2009-09-29,[0.3855338  0.28801087 0.16485569 0.10817331 0.05342639]
2009-09-30,[0.00686318 0.01873326 0.11729888 0.5163247  0.34077993]
2009-10-02,[0.05945181 0.10701945 0.19332711 0.3772699  0.26293173]
2009-10-05,[0.60412264 0.25049978 0.09219287 0.03589597 0.0172888 ]
2009-10-06,[0.50149703 0.28474447 0.13159208 0.05795757 0.02420879]
2009-10-07,[0.05961011 0.11318014 0.24419999 0.43150255 0.15150729]
2009-10-08,[0.07209559 0.09889343 0.21771999 0.38474607 0.22654489]
2009-10-09,[0.10084528 0.20861243 0.35546708 0.25800464 0.0770706 ]
2009-10-12,[0.4948712  0.29505128 0.14469984 0.0506977  0.01467992]
2009-10-13,[0.46936017 0.31251487 0.15338714 0.04984096 0.01489685]
2009-10-14,[0.11612623 0.28269848 0.34316748 0.20484278 0.05316507]
2009-10-15,[0.23500034 0.3003822  0.22722413 0.16040042 0.07699294]
2009-10-16,[0.35039285 0.26233    0.16463594 0.1422147  0.08042655]
2009-10-19,[0.30307356 0.2961805  0.20469145 0.12784053 0.06821393]
2009-10-20,[0.1740136  0.1860239  0.20168123 0.23434857 0.20393267]
2009-10-21,[0.08937431 0.13377354 0.21214542 0.31491596 0.2497908 ]
2009-10-22,[0.46938688 0.27553278 0.14886555 0.07134897 0.0348658 ]
2009-10-23,[0.55838555 0.2548941  0.09814604 0.05619428 0.03237998]
2009-10-26,[0.20414281 0.20953332 0.15422097 0.220362   0.21174096]
2009-10-27,[0.19670993 0.2805071  0.24586415 0.20062122 0.0762977 ]
2009-10-28,[0.04855321 0.08945712 0.23849563 0.4291908  0.19430318]
2009-10-30,[0.1206372  0.18080267 0.25637734 0.2840714  0.15811136]
2009-11-02,[0.19166707 0.21729288 0.23375754 0.22025044 0.13703205]
2009-11-03,[0.27285367 0.26337343 0.20528878 0.1691467  0.08933746]
2009-11-04,[0.47343436 0.28778484 0.13233316 0.0711759  0.03527183]
2009-11-06,[0.19284669 0.3309184  0.27111268 0.15316842 0.05195378]
2009-11-09,[0.11577233 0.19472983 0.28889662 0.29057106 0.11003011]
2009-11-10,[0.01988585 0.03553619 0.11078515 0.36148077 0.47231206]
2009-11-11,[0.07221179 0.09825811 0.10755456 0.29971012 0.42226532]
2009-11-12,[0.06999744 0.1433971  0.2107     0.36469507 0.21121036]
2009-11-13,[0.5285263  0.29729638 0.09502372 0.04931542 0.02983814]
2009-11-16,[0.11667616 0.2428233  0.28636366 0.26731306 0.08682384]
2009-11-17,[0.10983758 0.13785997 0.22947793 0.33234873 0.1904758 ]
2009-11-18,[0.00774735 0.02188272 0.15209252 0.5003296  0.3179478 ]
2009-11-19,[0.05336927 0.10310956 0.22168215 0.38067597 0.24116303]
2009-11-20,[0.18282181 0.18854748 0.21684894 0.26695403 0.1448278 ]
2009-11-23,[0.02018801 0.04152616 0.1235387  0.42157522 0.3931719 ]
2009-11-25,[0.00236169 0.0084409  0.1209863  0.58993185 0.2782793 ]
2009-11-27,[0.26666814 0.32201615 0.23285946 0.1325068  0.04594953]
2009-11-30,[0.06860111 0.12401416 0.24980189 0.3924784  0.16510445]
2009-12-01,[0.19332439 0.3691829  0.2765079  0.12349947 0.03748533]
2009-12-02,[0.22926037 0.37673077 0.29280397 0.08280754 0.01839733]
2009-12-03,[0.16717945 0.28752092 0.23358507 0.2249111  0.0868035 ]
2009-12-04,[0.18451644 0.2017883  0.22086482 0.24228364 0.15054685]
2009-12-07,[0.34860107 0.22399598 0.19392185 0.14979485 0.08368624]
2009-12-08,[0.03554004 0.08463391 0.26774195 0.4250648  0.18701935]
2009-12-09,[0.09479064 0.13610125 0.23847994 0.34266338 0.18796474]
2009-12-10,[0.32430962 0.2835568  0.16822135 0.14180733 0.08210497]
2009-12-11,[0.3504391  0.23315029 0.14892343 0.164108   0.10337922]
2009-12-14,[0.10688598 0.17287229 0.21777523 0.30536094 0.19710557]
2009-12-15,[0.29507223 0.270562   0.21391489 0.15353352 0.06691749]
2009-12-16,[0.21697621 0.23108436 0.2045965  0.21906683 0.12827612]
2009-12-17,[0.05829495 0.16094705 0.35753483 0.34428456 0.07893856]
2009-12-18,[0.0219647  0.03756365 0.15801342 0.44977096 0.33268732]
2009-12-21,[0.2899914  0.32758242 0.2268446  0.11560938 0.03997219]
2009-12-22,[0.42019784 0.3416413  0.14493553 0.06593826 0.02728714]
2009-12-23,[0.41068885 0.31072074 0.15713394 0.08195452 0.03950197]
2009-12-24,[0.45649892 0.29389673 0.12228405 0.07868619 0.04863402]
2009-12-28,[0.06243766 0.12294096 0.28393343 0.3599365  0.1707515 ]
2009-12-30,[0.01799151 0.04539355 0.21312359 0.47348848 0.25000277]
2009-12-31,[0.15971206 0.2919778  0.27639887 0.19932462 0.07258674]
2010-01-05,[0.37615356 0.18103895 0.13590623 0.12851232 0.17838886]
2010-01-06,[0.38895866 0.25075603 0.15005964 0.11855303 0.09167264]
2010-01-07,[0.18838145 0.36391458 0.30459505 0.11710636 0.0260026 ]
2010-01-08,[0.48026443 0.35218307 0.09533639 0.04256957 0.02964646]
2010-01-11,[0.19193465 0.23366398 0.22164364 0.23185429 0.12090345]
